seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	footnote	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5	px_6	py_6	px_7	py_7	px_8	py_8	px_9	py_9	px_10	py_10	px_11	py_11	px_12	py_12
41	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	7.598074	9.464102	7.098074	10.330127	7.964099	10.830127	8.830124	10.330127	9.330124	11.196152	11.330124	11.196152	11.830124	10.330127	10.964099	9.830127	10.964099	8.830127	9.964099	8.830127	9.464099	7.964102	8.598074	8.464102	8.598074	9.464102
42	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	8.232050	7.098077	7.732050	7.964102	8.598075	8.464102	9.464101	7.964102	9.964101	8.830128	11.964101	8.830128	12.464101	7.964103	11.598076	7.464103	11.598076	6.464103	10.598076	6.464103	10.098076	5.598077	9.232050	6.098077	9.232050	7.098077
43	#8080ff	#000000	#00000000	#00000000		48.016654	43.748719	11.598076	7.464103	12.464101	7.964103	12.964101	7.098078	12.464101	6.232052	13.330127	5.732052	13.330128	3.732052	12.464103	3.232052	11.964103	4.098077	10.964103	4.098077	10.964103	5.098077	10.098077	5.598077	10.598076	6.464103	11.598076	6.464103
44	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	14.696152	8.830129	15.696152	8.830129	15.696152	7.830129	14.830127	7.330129	15.330127	6.464104	14.330127	4.732053	13.330127	4.732053	13.330127	5.732053	12.464101	6.232053	12.964101	7.098079	12.464101	7.964104	13.330126	8.464103	14.196152	7.964103
45	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	17.062176	8.196153	18.062176	8.196153	18.062176	7.196153	17.196150	6.696153	17.696150	5.830127	16.696150	4.098076	15.696150	4.098076	15.696150	5.098076	14.830125	5.598076	15.330125	6.464101	14.830125	7.330127	15.696151	7.830127	16.562176	7.330127
46	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	17.062176	8.196154	16.562176	9.062179	17.428201	9.562179	18.294227	9.062178	18.794227	9.928204	20.794227	9.928205	21.294227	9.062180	20.428202	8.562180	20.428202	7.562180	19.428202	7.562180	18.928202	6.696154	18.062176	7.196154	18.062176	8.196154
47	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	17.696151	5.830130	17.196151	6.696155	18.062176	7.196155	18.928202	6.696154	19.428202	7.562180	21.428202	7.562181	21.928202	6.696156	21.062177	6.196156	21.062177	5.196156	20.062177	5.196156	19.562177	4.330130	18.696151	4.830130	18.696151	5.830130
48	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	17.330125	1.732052	16.330125	1.732052	16.330125	2.732052	17.196150	3.232052	16.696150	4.098077	17.696150	5.830127	18.696150	5.830127	18.696150	4.830127	19.562175	4.330127	19.062175	3.464102	19.562175	2.598077	18.696150	2.098077	17.830125	2.598077
49	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	16.696152	4.098078	17.196152	3.232053	16.330127	2.732053	15.464102	3.232053	14.964102	2.366028	12.964102	2.366028	12.464102	3.232053	13.330127	3.732053	13.330127	4.732053	14.330127	4.732053	14.830127	5.598078	15.696152	5.098078	15.696152	4.098078
50	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	9.598078	4.732051	10.098078	5.598076	10.964103	5.098076	10.964103	4.098076	11.964103	4.098077	12.964103	2.366026	12.464103	1.500001	11.598078	2.000001	10.732053	1.500001	10.232053	2.366026	9.232053	2.366026	9.232053	3.366026	10.098078	3.866026
51	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	11.232052	0.633978	10.732052	1.500003	11.598077	2.000003	12.464102	1.500003	12.964102	2.366028	14.964102	2.366028	15.464102	1.500003	14.598077	1.000003	14.598077	0.000003	13.598077	0.000003	13.098077	-0.866022	12.232052	-0.366022	12.232052	0.633978
52	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	11.232052	0.633977	12.232052	0.633977	12.232052	-0.366022	11.366027	-0.866022	11.866027	-1.732047	10.866027	-3.464098	9.866027	-3.464098	9.866027	-2.464098	9.000002	-1.964098	9.500002	-1.098073	9.000002	-0.232048	9.866027	0.267952	10.732052	-0.232048
53	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	7.866028	3.000000	8.366028	3.866025	9.232053	3.366025	9.232053	2.366025	10.232053	2.366026	11.232053	0.633975	10.732053	-0.232050	9.866028	0.267950	9.000003	-0.232050	8.500003	0.633975	7.500003	0.633975	7.500003	1.633975	8.366028	2.133975
54	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	6.133978	1.267949	6.633978	2.133974	7.500003	1.633974	7.500003	0.633975	8.500003	0.633975	9.500003	-1.098076	9.000003	-1.964101	8.133978	-1.464101	7.267953	-1.964101	6.767953	-1.098076	5.767953	-1.098076	5.767953	-0.098076	6.633978	0.401924
55	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	2.401927	-0.464102	1.901927	0.401923	2.767952	0.901923	3.633978	0.401923	4.133978	1.267949	6.133978	1.267949	6.633978	0.401924	5.767953	-0.098076	5.767953	-1.098076	4.767953	-1.098076	4.267953	-1.964102	3.401927	-1.464102	3.401927	-0.464102
56	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	7.866028	2.999999	8.366028	2.133974	7.500003	1.633974	6.633978	2.133974	6.133978	1.267949	4.133978	1.267949	3.633978	2.133974	4.500003	2.633974	4.500003	3.633974	5.500003	3.633974	6.000003	4.499999	6.866028	3.999999	6.866028	2.999999
